timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1539337549188061,-12,-10,14,-1,-4,-3,1,0
1539337549188061,9,-9,-3,0,-3,-4,1,-2
1539337549189059,2,-28,-9,-8,-1,3,-5,-3
1539337549189059,-21,-4,-5,-4,-1,0,-4,-4
1539337549190056,3,-7,-3,2,1,0,2,2
1539337549190056,-12,-4,0,1,-1,-3,3,-3
1539337549191053,9,4,-6,0,2,2,-2,0
1539337549191053,-11,29,6,1,0,1,0,2
1539337549198035,-1,-3,0,2,1,0,0,-1
1539337549198035,23,-30,-52,-9,-2,-6,0,0
1539337549202035,26,-45,58,5,-6,-3,-7,-5
1539337549202035,-1,6,1,-1,0,2,-1,4
1539337549218017,4,-2,18,-3,-7,-5,1,-1
1539337549218017,-6,7,7,-1,-5,-3,0,-2
1539337549226956,5,24,-16,-1,5,3,1,3
1539337549226956,10,0,-8,0,2,0,-2,-2
1539337549233019,9,-8,-20,-1,1,0,2,0
1539337549233019,35,-60,-9,-4,-2,-1,-2,1
1539337549257159,-27,26,7,1,1,0,2,1
1539337549257159,-14,-8,7,2,-1,-1,-1,-5
1539337549259869,16,5,-3,2,2,0,1,3
1539337549259869,-3,3,12,0,-3,-3,-1,-1
1539337549284839,-7,13,-5,2,1,1,-2,1
1539337549284839,4,-4,-9,-2,-1,2,1,1
1539337549310733,1,6,-13,-4,0,2,-2,1
1539337549310733,8,-25,16,3,4,1,-4,-2
1539337549311730,-4,6,2,0,-3,0,1,3
1539337549311730,0,-18,7,0,-5,-4,2,-2
1539337549315925,-5,2,1,0,1,2,-1,0
1539337549315925,4,-1,-13,-2,2,1,-2,0
1539337549315925,28,-27,-6,-1,1,1,-2,4
1539337549315925,-62,73,33,14,8,4,12,-1
1539337549321703,19,-5,-1,-3,-3,0,-2,-1
1539337549321703,8,6,2,-3,-3,-2,-5,1
1539337549328687,4,-10,1,-2,1,0,-1,2
1539337549328687,12,-27,-25,-7,-5,-6,0,0
1539337549345642,-6,2,2,1,1,0,-1,0
1539337549345642,-20,29,0,3,1,3,2,0
1539337549352633,-12,8,43,8,-2,0,-2,-2
1539337549352633,13,-30,-11,0,-6,-6,-1,-2
1539337549359645,-46,39,0,4,7,5,1,-1
