timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1539353650640437,-1,-1,2,0,-1,-1,1,-1
1539353650640437,-2,-3,-2,-1,0,-1,0,0
1539353650641433,-2,0,-1,-2,0,-1,-2,-2
1539353650641433,1,0,-1,0,1,0,-2,0
1539353650642431,0,0,1,0,-1,0,0,0
1539353650642431,-2,-1,-1,-1,-1,0,1,-2
1539353650654399,-1,0,-1,0,-2,0,-2,0
1539353650654399,0,0,-1,0,0,0,0,0
1539353650656394,1,0,-2,1,2,-1,0,0
1539353650656394,0,-2,-3,0,-2,-1,1,0
1539353650657450,0,-1,-1,0,-2,0,0,-1
1539353650657450,-1,-1,1,0,0,-1,-1,-1
1539353650677399,-2,0,0,-2,0,1,0,1
1539353650677399,1,1,-3,0,1,0,1,1
1539353650682324,0,2,1,-1,-1,-1,-1,1
1539353650682324,0,-1,-1,-2,0,0,0,-2
1539353650738174,0,-1,-2,0,0,1,-2,-1
1539353650738174,0,-1,1,-1,2,-1,0,-1
1539353650741167,0,-1,0,0,0,-1,0,0
1539353650741167,0,1,-1,0,-1,-1,1,1
1539353650743162,0,0,0,-1,-2,-2,-1,-1
1539353650743162,0,-2,0,2,0,1,1,0
1539353650744159,1,2,-2,-2,0,0,0,-2
1539353650744159,0,2,-2,-1,0,1,-1,-2
1539353650780400,-1,1,2,0,-1,-1,0,-2
1539353650780400,1,1,2,1,-1,-2,-1,-3
1539353650804254,1,-2,0,0,0,0,1,1
1539353650804254,2,-1,1,0,-2,0,0,0
1539353650804254,0,0,-3,-1,-2,-1,0,0
1539353650804254,0,1,-1,0,0,-1,2,0
1539353650810980,-1,0,0,0,0,0,0,0
1539353650810980,0,1,0,0,-1,0,-1,-1
1539353650813972,0,-2,-2,-1,-2,1,-1,1
1539353650813972,0,6,2,0,-1,-1,1,-1
1539353650825947,-1,-6,-1,0,-1,0,0,-2
1539353650825947,0,0,-1,-1,-1,-2,-1,0
1539353650827945,-1,9,0,-1,-2,-1,1,-1
1539353650827945,0,-7,-2,0,-2,-1,0,-1
1539353650833927,0,-1,-1,-1,0,-1,-1,-2
1539353650833927,-4,1,0,0,1,0,-1,-1
1539353650840900,0,-1,0,-2,0,0,-2,0
1539353650840900,1,1,0,-1,0,0,0,-1
1539353650855868,0,0,2,1,-1,-1,2,-2
1539353650855868,-1,-4,-1,0,-2,1,-1,-1
1539353650871059,0,3,-3,-1,-1,0,-1,-1
1539353650871059,0,-2,-2,-1,-2,0,0,-1
1539353650910716,-1,0,1,0,0,0,-3,0
1539353650910716,1,-1,1,1,0,-1,2,-1
1539353650910716,-2,-1,-1,1,-1,-2,0,0
1539353650910716,-1,-1,-1,-1,-2,0,-1,-1
1539353650911711,-1,-1,0,0,1,-1,0,-2
1539353650911711,-2,-1,-1,1,-1,0,-1,0
1539353650914899,-4,-1,-2,0,-1,-1,0,0
1539353650914899,1,-1,0,1,-1,-2,0,-1
1539353650939947,2,0,0,-2,-2,-1,-2,-2
1539353650939947,-2,-2,0,0,1,0,0,-1
1539353650942746,-2,0,-1,-2,0,1,2,-1
1539353650942746,-1,0,0,-2,0,0,-2,0
1539353650953623,0,-2,-1,0,0,0,-1,0
1539353650953623,1,-1,1,0,1,-1,-1,0
1539353650968560,-1,-1,-1,0,-1,-1,0,1
1539353650968560,-1,2,-1,1,0,-1,-1,0
1539353650969558,1,0,0,1,1,1,0,0
1539353650969558,1,-2,-2,0,-3,1,0,0
1539353650982523,1,-2,-1,0,0,-1,1,-1
1539353650982523,-1,1,1,0,-1,-1,-2,-2
1539353650991506,0,1,1,0,0,-1,0,1
