timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1539337592402972,-1,6,-3,-1,0,2,-4,-1
1539337592402972,0,4,0,-1,1,-2,-3,0
1539337592403969,-20,52,7,4,4,2,1,1
1539337592403969,0,-11,-1,-1,-2,-3,4,-1
1539337592404968,0,-1,-1,-1,0,1,-2,-2
1539337592404968,-3,5,-1,0,1,1,0,2
1539337592405967,20,-10,-4,-4,-3,0,-3,0
1539337592405967,3,-11,-3,0,-2,-2,3,-1
1539337592416947,-3,8,2,-1,1,0,0,0
1539337592416947,2,0,0,-3,-1,0,-3,-2
1539337592425913,-9,-6,1,-1,3,0,0,-2
1539337592425913,-1,-3,2,1,-4,-2,1,-1
1539337592432892,4,1,-2,-1,-2,-1,-2,0
1539337592432892,-9,7,1,-1,2,1,0,0
1539337592446863,-1,-5,0,0,1,0,0,-1
1539337592446863,0,-5,-2,0,-1,-3,2,-1
1539337592456829,-19,20,2,1,0,0,-2,-1
1539337592456829,3,8,-1,1,-1,1,-2,1
1539337592470791,2,-4,0,-1,1,0,-1,-1
1539337592470791,8,-39,-6,-3,-2,-3,0,-4
1539337592477060,2,2,-1,-2,-1,-1,-1,0
1539337592477060,0,-2,-1,-2,-2,0,0,-1
1539337592523651,-2,-10,-7,-3,-1,0,-2,-3
1539337592523651,7,7,-1,-2,0,1,-3,-1
1539337592524653,-11,3,0,1,0,1,-2,-2
1539337592524653,3,-13,-1,1,-2,-1,3,-1
1539337592524653,-7,2,1,-1,-1,-3,-2,-3
1539337592524653,2,2,-1,0,0,0,-2,0
1539337592525644,2,3,1,-1,2,1,-1,-1
1539337592525644,2,-9,-1,0,-3,-4,2,-1
1539337592536615,7,-21,-2,-1,-2,-1,-1,-2
1539337592536615,-14,22,-1,-3,2,-1,-1,0
1539337592543604,-4,4,1,-2,1,1,-1,0
1539337592543604,0,-11,-1,0,-1,-1,1,0
1539337592560552,0,10,3,2,-1,0,-2,-1
1539337592560552,-6,-9,-4,0,0,-1,-3,-1
1539337592567549,2,3,-1,-2,-2,0,-2,1
1539337592567549,3,-3,-3,-1,-2,-3,2,0
1539337592573681,3,0,-2,-3,-2,-1,-3,-1
1539337592573681,-14,4,4,-1,1,0,-2,-1
1539337592589586,8,5,-2,0,-2,-3,0,-1
1539337592589586,2,-8,0,1,-1,1,0,-3
1539337592596565,1,7,0,-3,-1,1,0,2
1539337592596565,2,3,3,1,0,1,-2,-1
1539337592613522,2,0,-2,0,0,-1,-2,0
1539337592613522,-2,-1,0,0,0,-2,-1,0
1539337592614422,-4,6,-2,0,0,-1,1,0
1539337592614422,4,-2,-1,-1,0,-2,-1,1
1539337592635350,-4,-15,-6,-5,-1,-3,-1,1
