timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1539338807834367,-22,9,1,-3,1,2,0,-2
1539338807834367,-2,6,0,-4,-1,2,-1,0
1539338807835364,10,-8,-8,-1,-1,0,1,0
1539338807835364,-8,-11,0,4,2,-4,-1,-3
1539338807837359,4,5,0,-2,-1,1,-1,1
1539338807837359,-2,0,-2,-3,-1,0,-1,-1
1539338807844341,-4,2,-1,-3,1,0,-2,1
1539338807844341,6,-8,-4,3,0,-3,1,-3
1539338807846342,-2,0,2,-3,-2,0,0,-1
1539338807846342,-4,4,3,0,-2,-1,0,1
1539338807852318,1,7,2,0,-1,1,0,1
1539338807852318,8,-4,-4,2,2,-4,0,0
1539338807866619,3,5,1,-5,0,-1,-3,0
1539338807866619,0,1,-2,-3,-1,1,-1,0
1539338807885231,-2,3,6,2,2,4,2,0
1539338807885231,2,-6,-3,1,-1,-1,-2,0
1539338807886228,1,2,3,-3,-2,1,-1,-1
1539338807886228,-2,-3,-1,-1,-1,1,0,1
1539338807904387,-1,0,1,1,1,1,0,0
1539338807904387,13,5,-6,-2,-1,-4,-3,-1
1539338807905392,6,16,-3,-3,0,0,2,2
1539338807905392,-1,-1,0,-1,-1,0,0,-2
1539338807952053,7,4,-4,-4,-1,-3,-3,-2
1539338807952053,-1,8,4,-3,-3,2,-1,2
1539338807952053,6,7,-2,-4,-2,1,-1,1
1539338807952053,4,-4,-3,3,4,-2,2,0
1539338807953051,-2,2,5,1,-2,-1,0,-3
1539338807953051,-5,0,-6,-2,0,0,2,0
1539338807957041,-4,1,1,-2,-2,1,-1,0
1539338807957041,4,-9,-4,7,1,-3,-1,-1
1539338807963032,-3,1,0,-2,-3,-2,-2,-1
1539338807963032,1,4,1,-4,-1,1,-1,1
1539338807972044,-4,2,1,-2,0,2,1,0
1539338807972044,1,-13,-3,3,0,-2,1,-3
1539338807978213,-1,-4,0,1,2,-2,-2,-2
1539338807978213,2,13,1,-2,-2,-1,-2,0
1539338808002929,10,-12,-5,-4,-2,0,-3,-2
1539338808002929,3,-6,2,3,2,-1,-1,0
