timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1539337816517801,6,-22,-5,-1,-1,-5,4,-3
1539337816517801,-23,4,6,3,2,2,-2,-5
1539337816518798,4,14,1,0,1,2,-3,1
1539337816518798,-22,92,14,3,0,3,0,1
1539337816525778,4,-8,-2,1,-3,-4,3,0
1539337816525778,8,-1,-3,-5,-3,-1,-3,-2
1539337816528771,-19,30,9,0,1,1,-2,0
1539337816528771,6,-25,-5,-1,1,-2,-2,-2
1539337816538743,10,-20,-6,0,-2,-4,4,2
1539337816538743,-5,23,4,0,0,-3,-1,-1
1539337816547726,8,-9,-4,-2,0,1,-2,-1
1539337816547726,3,-17,-3,-3,-2,2,-1,0
1539337816555697,0,-5,-2,-3,-2,-3,2,0
1539337816555697,5,-26,-7,1,-2,0,-2,-1
1539337816568670,0,4,-1,-2,0,3,-3,2
1539337816568670,2,-9,1,2,2,-2,-1,2
1539337816575651,-5,-8,0,2,1,-1,2,-1
1539337816575651,9,30,-4,-2,-2,0,-1,-1
1539337816598583,13,-42,-10,-2,-2,-3,-3,-2
1539337816598583,6,3,-3,-1,0,2,-1,1
1539337816599580,-15,4,2,1,0,1,1,-2
1539337816599580,10,8,3,-1,0,-1,0,1
1539337816617665,11,-1,-4,-2,-3,-2,-4,2
1539337816617665,2,-14,-1,1,-3,0,0,-1
1539337816618531,10,-24,-12,-3,0,-2,-1,1
1539337816618531,-8,-5,1,-2,-2,0,-1,-1
1539337816635483,-7,8,6,1,0,1,2,-1
1539337816635483,3,-13,-2,-1,1,0,-1,-1
1539337816670438,-2,17,2,1,1,1,-4,-1
1539337816670438,6,-2,-3,-1,-1,0,-3,-2
1539337816670438,8,-14,-2,1,0,-3,3,3
1539337816670438,-5,-10,-3,-2,-3,-3,1,-2
1539337816674555,-1,7,2,-1,1,2,-3,0
1539337816674555,5,5,1,-2,0,0,-1,1
1539337816675553,7,-1,-1,-1,0,0,3,2
1539337816675553,6,-8,-3,0,-1,-3,1,-2
1539337816689340,-1,4,-2,0,0,1,-2,-1
1539337816689340,5,-11,0,-3,0,1,-3,-2
1539337816695324,-20,3,11,6,2,2,3,0
1539337816695324,-19,16,8,2,-2,-2,3,-2
1539337816704300,-20,47,14,2,1,4,1,-1
1539337816704300,-6,-2,0,-2,2,2,-3,1
1539337816710397,14,-29,-10,-2,-2,-1,1,1
1539337816710397,6,-26,-6,-3,-4,-5,0,-2
1539337816727239,4,-3,0,-1,0,2,-3,2
1539337816727239,-10,17,5,1,0,1,0,0
1539337816742232,-1,6,1,0,-1,-1,0,0
1539337816742232,-7,1,0,-1,1,-2,0,-1
1539337816743197,5,-6,-5,-1,-1,0,-1,-2
1539337816743197,-1,4,3,1,0,0,-1,1
1539337816765144,2,-12,-8,-3,1,-2,0,-1
1539337816765144,7,-9,-5,-2,-3,-2,1,-2
1539337816766134,0,-13,-3,-1,1,-1,-2,0
1539337816766134,-8,2,2,1,1,1,-2,-1
1539337816778254,17,-35,-6,-2,-3,-2,-1,-2
1539337816778254,0,40,0,-2,-3,2,1,2
1539337816787079,-10,-5,2,0,0,1,-2,-2
1539337816787079,11,12,0,-2,-2,-2,1,1
1539337816802070,1,8,-1,1,3,-2,0,0
1539337816802070,14,-12,-4,-2,-2,-2,-3,0
1539337816803038,2,2,-2,-3,-3,-1,-1,0
1539337816803038,27,-54,-12,-3,-2,-1,-3,-1
1539337816824977,-6,-2,2,-1,0,1,0,-3
1539337816824977,-2,-11,0,1,1,0,0,-1
1539337816825975,2,12,2,-1,-1,0,-1,0
1539337816825975,-7,2,2,0,2,1,-1,-1
1539337816838059,2,7,-6,-3,-3,-2,1,0
1539337816838059,-5,0,2,0,0,0,-2,-1
1539337816846920,8,-11,-2,0,1,1,0,1
1539337816846920,-3,12,-2,-3,1,0,-1,0
1539337816869882,-2,7,2,0,0,1,0,0
1539337816869882,-2,-2,0,-2,-1,1,-2,0
1539337816870854,1,-4,-3,0,1,-1,-2,-2
1539337816870854,-9,10,3,3,-2,1,1,1
1539337816884829,-21,-11,3,3,1,1,0,-3
1539337816884829,-4,23,-1,-2,-2,-2,1,1
1539337816885815,18,-53,-8,-3,0,0,-3,-1
1539337816885815,-14,11,4,1,0,1,0,0
1539337816897830,10,-6,-6,-2,-1,-1,0,1
1539337816897830,0,-11,1,2,1,0,-1,-1
1539337816906759,3,2,2,1,0,-1,0,-3
1539337816906759,1,-19,-2,-2,0,-2,-1,-2
1539337816921926,-18,22,10,2,0,-1,2,-1
1539337816921926,2,-8,1,0,0,0,-1,-1
1539337816923713,-6,14,1,0,-1,-1,2,0
1539337816923713,2,-12,0,0,0,-1,-1,-3
1539337816944715,-6,14,4,3,0,1,1,1
1539337816944715,-30,-44,2,2,1,0,0,-4
1539337816945656,-9,21,7,-1,0,0,0,2
1539337816945656,12,-15,-7,-2,-1,0,-1,-1
1539337816957648,-9,3,2,-1,-1,1,0,0
1539337816957648,8,2,-3,-3,-2,-1,-1,-1
1539337816966608,4,-3,-3,0,-1,-2,1,1
1539337816966608,-6,9,2,-1,0,-1,0,0
1539337816989546,-4,16,5,0,-1,-1,2,0
1539337816989546,-4,-18,-9,-2,-3,0,-3,-3
1539337816990543,-13,9,2,3,1,1,-1,-2
1539337816990543,-8,17,3,1,-2,0,-1,-1
1539337817004585,5,-9,-1,-2,-1,0,0,0
1539337817004585,1,13,0,-1,-2,0,0,0
1539337817006493,-4,-1,-3,1,1,-1,-1,1
1539337817006493,10,-48,-9,0,-1,-3,-2,-2
1539337817018600,-10,-3,0,0,1,0,0,-1
1539337817018600,-9,17,6,2,1,1,2,1
1539337817027504,3,23,0,0,0,2,0,4
1539337817027504,-7,5,1,0,1,0,1,0
1539337817041537,15,-9,-4,-2,-3,-1,-1,0
1539337817041537,11,-2,-3,-1,0,1,-1,2
1539337817043394,-13,6,3,-2,-1,-1,-1,-1
1539337817043394,-9,26,2,1,1,0,0,-2
1539337817072370,7,6,-2,-2,-2,-1,-1,-1
1539337817072370,2,7,0,1,1,0,0,1
1539337817073315,-11,36,14,5,3,3,2,2
1539337817073315,0,9,0,0,3,1,0,-2
